iter	Logloss
0	0.6876913996
1	0.6822349526
2	0.6772571048
3	0.6719128956
4	0.6667980887
5	0.6622894076
6	0.6574561374
7	0.6527560543
8	0.6473063591
9	0.6435506445
10	0.638695217
11	0.6338981374
12	0.6296830785
13	0.6260977044
14	0.6218448913
15	0.6182232549
16	0.613867105
17	0.6098266863
18	0.606066643
19	0.602046321
20	0.5976759265
21	0.5936473946
22	0.5901246545
23	0.5867590366
24	0.5832383205
25	0.580419549
26	0.5769090726
27	0.5730133534
28	0.5701199774
29	0.5667850194
30	0.5639705475
31	0.5608613254
32	0.5583557762
33	0.5554254852
34	0.5524552433
35	0.5494390064
36	0.5467820227
37	0.5444896252
38	0.5418401367
39	0.5394179567
40	0.5372687185
41	0.5347894785
42	0.5334314994
43	0.5306183254
44	0.5284376087
45	0.5260723346
46	0.5235435959
47	0.521417683
48	0.5195588434
49	0.5178518426
50	0.5162148808
51	0.5141435755
52	0.512470557
53	0.5105433053
54	0.50886386
55	0.5069415373
56	0.5054860747
57	0.5039542811
58	0.5028121105
59	0.5007991962
60	0.4990650049
61	0.4972645246
62	0.4952386887
63	0.4935410618
64	0.4920131315
65	0.4910350393
66	0.4890809254
67	0.4879278623
68	0.4868041225
69	0.4860337388
70	0.4841692929
71	0.4831098236
72	0.4823839637
73	0.4815830204
74	0.4803561152
75	0.4788768023
76	0.4776251104
77	0.4768122917
78	0.4754352825
79	0.4739010432
80	0.472988472
81	0.4715091431
82	0.4701741545
83	0.4689662201
84	0.4677651942
85	0.4665713105
86	0.4653348611
87	0.4639864787
88	0.4629386874
89	0.4617587453
90	0.4603648084
91	0.4596463725
92	0.4582765142
93	0.4577720242
94	0.456554024
95	0.4557446389
96	0.4548652164
97	0.4536550689
98	0.4524208047
99	0.4513285893
100	0.4502401556
101	0.4493107575
102	0.4486202654
103	0.4479775884
104	0.4469963358
105	0.4457990946
106	0.4448479675
107	0.4441632546
108	0.4432164255
109	0.4421101912
110	0.4413722247
111	0.4409185899
112	0.4404923161
113	0.439577946
114	0.438765632
115	0.4376235647
116	0.4369734201
117	0.4360600493
118	0.4352642389
119	0.4345613306
120	0.433714299
121	0.4327928626
122	0.4320600417
123	0.4314023124
124	0.4311021332
125	0.4303217746
126	0.4297751903
127	0.4289326336
128	0.4283655437
129	0.4275909469
130	0.4272274216
131	0.4267656455
132	0.4265582386
133	0.4261559885
134	0.4255114395
135	0.4249385803
136	0.4247477108
137	0.4241732877
138	0.4235793316
139	0.4233997501
140	0.4226704201
141	0.4223203139
142	0.4213952577
143	0.4206702115
144	0.4201603963
145	0.4196477734
146	0.4190768405
147	0.4185311402
148	0.4179119016
149	0.4174003523
150	0.4168642941
151	0.4161538677
152	0.4159852757
153	0.4155849789
154	0.4151121073
155	0.4146157539
156	0.4140288427
157	0.4138662517
158	0.4132285928
159	0.4128365188
160	0.412345576
161	0.4117852859
162	0.4112139394
163	0.4107073907
164	0.4103977162
165	0.4098030558
166	0.4095287742
167	0.4089562831
168	0.4084284276
169	0.4082409647
170	0.4077842707
171	0.4074470599
172	0.4070298901
173	0.4066798786
174	0.4061504901
175	0.4058010566
176	0.4055116734
177	0.4053531202
178	0.4049208503
179	0.4045026479
180	0.4039902311
181	0.4036818122
182	0.4033743275
183	0.4029380697
184	0.4026326461
185	0.402362715
186	0.4021162503
187	0.4017998799
188	0.4015775942
189	0.4011936956
190	0.4010829873
191	0.4007613019
192	0.4005439698
193	0.4001160734
194	0.399649821
195	0.3993167849
196	0.3989115467
197	0.3985646086
198	0.3982051502
199	0.3979458063
200	0.3974568028
201	0.3971842744
202	0.3969588616
203	0.3967357
204	0.396388472
205	0.3960857283
206	0.395679741
207	0.395361989
208	0.395140327
209	0.395064259
210	0.3947456392
211	0.3946584603
212	0.3943879038
213	0.3943404534
214	0.3938714897
215	0.3936677944
216	0.3935316507
217	0.3931872766
218	0.3931426931
219	0.392783076
220	0.3924732428
221	0.3922191936
222	0.3918247112
223	0.3915774659
224	0.3912579556
225	0.3910315082
226	0.3906860932
227	0.3903989103
228	0.389990575
229	0.3899153567
230	0.3896378006
231	0.3893879656
232	0.3891285603
233	0.3889973608
234	0.3887105578
235	0.3884918338
236	0.3882600717
237	0.3879653584
